Waf: Entering directory `/Users/sangheon/Desktop/ns-3-dev/build'
[1934/1986] Compiling scratch/dumbbell.cc
[1948/1986] Linking build/scratch/dumbbell
Waf: Leaving directory `/Users/sangheon/Desktop/ns-3-dev/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.889s)
flow0  14.1s: 	22.3834 Mbit/s
flow1  14.1s: 	22.855 Mbit/s
flow2  14.1s: 	22.7693 Mbit/s
flow3  14.1s: 	22.855 Mbit/s
flow0  14.2s: 	22.5978 Mbit/s
flow1  14.2s: 	22.9837 Mbit/s
flow2  14.2s: 	22.2547 Mbit/s
flow3  14.2s: 	22.9837 Mbit/s
flow0  14.3s: 	22.8122 Mbit/s
flow1  14.3s: 	23.1981 Mbit/s
flow2  14.3s: 	21.6115 Mbit/s
flow3  14.3s: 	23.241 Mbit/s
flow0  14.4s: 	22.855 Mbit/s
flow1  14.4s: 	22.9408 Mbit/s
flow2  14.4s: 	22.169 Mbit/s
flow3  14.4s: 	22.8979 Mbit/s
flow0  14.5s: 	22.7693 Mbit/s
flow1  14.5s: 	22.6835 Mbit/s
flow2  14.5s: 	22.5978 Mbit/s
flow3  14.5s: 	22.7693 Mbit/s
flow0  14.6s: 	22.7264 Mbit/s
flow1  14.6s: 	22.7264 Mbit/s
flow2  14.6s: 	22.7264 Mbit/s
flow3  14.6s: 	22.6835 Mbit/s
flow0  14.7s: 	22.7693 Mbit/s
flow1  14.7s: 	22.7693 Mbit/s
flow2  14.7s: 	22.6406 Mbit/s
flow3  14.7s: 	22.6835 Mbit/s
flow0  14.8s: 	22.6406 Mbit/s
flow1  14.8s: 	22.6406 Mbit/s
flow2  14.8s: 	22.7693 Mbit/s
flow3  14.8s: 	22.7693 Mbit/s
flow0  14.9s: 	22.7693 Mbit/s
flow1  14.9s: 	22.7693 Mbit/s
flow2  14.9s: 	22.6835 Mbit/s
flow3  14.9s: 	22.6406 Mbit/s
flow0  15s: 	22.6406 Mbit/s
flow1  15s: 	22.7264 Mbit/s
flow2  15s: 	22.7264 Mbit/s
flow3  15s: 	22.7693 Mbit/s
flow0  15.1s: 	22.7264 Mbit/s
flow1  15.1s: 	22.6406 Mbit/s
flow2  15.1s: 	22.7264 Mbit/s
flow3  15.1s: 	22.7264 Mbit/s
flow0  15.2s: 	22.7693 Mbit/s
flow1  15.2s: 	22.7693 Mbit/s
flow2  15.2s: 	22.6835 Mbit/s
flow3  15.2s: 	22.6406 Mbit/s
flow0  15.3s: 	22.6406 Mbit/s
flow1  15.3s: 	22.6835 Mbit/s
flow2  15.3s: 	22.7264 Mbit/s
flow3  15.3s: 	22.7693 Mbit/s
flow0  15.4s: 	22.7693 Mbit/s
flow1  15.4s: 	22.6835 Mbit/s
flow2  15.4s: 	22.7693 Mbit/s
